##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	Male2_S63_L004_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	435805834
Sequences flagged as poor quality	0
Sequence length	151
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.8703288377732	37.0	37.0	37.0	37.0	37.0
2	36.11840718727046	37.0	37.0	37.0	37.0	37.0
3	36.24491490400746	37.0	37.0	37.0	37.0	37.0
4	36.31065207355623	37.0	37.0	37.0	37.0	37.0
5	36.35037741371769	37.0	37.0	37.0	37.0	37.0
6	36.36957846232045	37.0	37.0	37.0	37.0	37.0
7	36.39764082185279	37.0	37.0	37.0	37.0	37.0
8	36.42707079960751	37.0	37.0	37.0	37.0	37.0
9	36.392362159153656	37.0	37.0	37.0	37.0	37.0
10-14	36.37104005450281	37.0	37.0	37.0	37.0	37.0
15-19	36.280419292413605	37.0	37.0	37.0	37.0	37.0
20-24	36.11593452463971	37.0	37.0	37.0	37.0	37.0
25-29	35.979466048634855	37.0	37.0	37.0	37.0	37.0
30-34	35.77622728611751	37.0	37.0	37.0	37.0	37.0
35-39	35.60071625383519	37.0	37.0	37.0	37.0	37.0
40-44	35.40939829456253	37.0	37.0	37.0	37.0	37.0
45-49	35.22167578738747	37.0	37.0	37.0	37.0	37.0
50-54	35.03518878960212	37.0	37.0	37.0	29.8	37.0
55-59	34.856141637608275	37.0	37.0	37.0	25.0	37.0
60-64	34.65978353470137	37.0	37.0	37.0	25.0	37.0
65-69	34.47029255464257	37.0	37.0	37.0	25.0	37.0
70-74	34.311010438653284	37.0	37.0	37.0	25.0	37.0
75-79	34.12892964255269	37.0	37.0	37.0	25.0	37.0
80-84	33.950202965846486	37.0	37.0	37.0	25.0	37.0
85-89	33.77233722759205	37.0	37.0	37.0	25.0	37.0
90-94	33.605595093983986	37.0	37.0	37.0	13.8	37.0
95-99	33.4617065213496	37.0	37.0	37.0	11.0	37.0
100-104	33.29778853212874	37.0	37.0	37.0	11.0	37.0
105-109	33.150896057531895	37.0	37.0	37.0	11.0	37.0
110-114	33.024449745663574	37.0	37.0	37.0	11.0	37.0
115-119	32.86576136059712	37.0	37.0	37.0	11.0	37.0
120-124	32.758095482953074	37.0	37.0	37.0	11.0	37.0
125-129	32.649963893324106	37.0	37.0	37.0	11.0	37.0
130-134	32.50878048823917	37.0	37.0	37.0	11.0	37.0
135-139	32.38440263468341	37.0	37.0	37.0	11.0	37.0
140-144	32.27988464789574	37.0	37.0	37.0	11.0	37.0
145-149	32.21486280286923	37.0	37.0	37.0	11.0	37.0
150-151	32.01673716579939	37.0	37.0	37.0	11.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.1011665974354159
1101	2	-0.11974716137321195
1101	3	-0.13474500529645894
1101	4	-0.13157431970347488
1101	5	-0.0828280875755425
1101	6	-0.14337245798716935
1101	7	-0.09676512376986324
1101	8	-0.138011128715128
1101	9	-0.10168084201028904
1101	10-14	-0.11541754097102341
1101	15-19	-0.1175879410293561
1101	20-24	-0.13223826184749043
1101	25-29	-0.12381420118779829
1101	30-34	-0.1302307890018568
1101	35-39	-0.15019968075155532
1101	40-44	-0.1440895402749618
1101	45-49	-0.16033113301543267
1101	50-54	-0.1614773197896966
1101	55-59	-0.17026124583234292
1101	60-64	-0.17349587191098692
1101	65-69	-0.1579735397782187
1101	70-74	-0.1697329490678996
1101	75-79	-0.14240285044946432
1101	80-84	-0.15831717119358757
1101	85-89	-0.19161402167802066
1101	90-94	-0.19852041284582356
1101	95-99	-0.1947313309945713
1101	100-104	-0.15641355747912655
1101	105-109	-0.20577149820539375
1101	110-114	-0.15371671483772786
1101	115-119	-0.16388457931147826
1101	120-124	-0.16204487891634045
1101	125-129	-0.12683968566383186
1101	130-134	-0.17245236968636846
1101	135-139	-0.2493603308104042
1101	140-144	-0.20256084898118587
1101	145-149	-0.1697672392412386
1101	150-151	-0.15559783512036063
1102	1	-0.13868603713860495
1102	2	-0.05987815187260992
1102	3	-0.11175735313984347
1102	4	-0.1242244551359235
1102	5	-0.07453895451912018
1102	6	-0.11086866924125616
1102	7	-0.05045115038528536
1102	8	-0.06368709853347809
1102	9	-0.046871832653202716
1102	10-14	-0.07187742345975323
1102	15-19	-0.07918543755155127
1102	20-24	-0.08940488351304765
1102	25-29	-0.0821111474114602
1102	30-34	-0.10215102293818035
1102	35-39	-0.11977088799915236
1102	40-44	-0.09933719291277754
1102	45-49	-0.09600184481002572
1102	50-54	-0.08687545996605195
1102	55-59	-0.09983507576024664
1102	60-64	-0.12023614059220478
1102	65-69	-0.09580563280233179
1102	70-74	-0.09370341689974993
1102	75-79	-0.06708055272825675
1102	80-84	-0.08004777999732227
1102	85-89	-0.07949524915431283
1102	90-94	-0.12359971163903793
1102	95-99	-0.09471160179757021
1102	100-104	-0.07806818171896879
1102	105-109	-0.06366543808326242
1102	110-114	-0.08144077847824605
1102	115-119	-0.07841593068268082
1102	120-124	-0.07138144913994182
1102	125-129	-0.01765107175459235
1102	130-134	-0.049259385862711724
1102	135-139	-0.0995888121335824
1102	140-144	-0.10509848071494332
1102	145-149	-0.11660356218153822
1102	150-151	-0.023570363951201045
1103	1	-0.05787433223148497
1103	2	-0.08714260105647043
1103	3	-0.0917687849276021
1103	4	-0.09836696790505073
1103	5	-0.08482149929994165
1103	6	-0.0869005070676181
1103	7	-0.05500777424463621
1103	8	-0.05198866821177717
1103	9	-0.11104972984713157
1103	10-14	-0.0726003549792793
1103	15-19	-0.06135997774929791
