##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	Smelt-Joslin_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	87444477
Sequences flagged as poor quality	0
Sequence length	150
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.90426258710427	32.0	32.0	32.0	32.0	32.0
2	31.436372979850976	32.0	32.0	32.0	32.0	32.0
3	35.30182894226699	37.0	37.0	37.0	32.0	37.0
4	35.653819268654324	37.0	37.0	37.0	32.0	37.0
5	36.204661261797014	37.0	37.0	37.0	37.0	37.0
6	39.625810524317046	41.0	41.0	41.0	37.0	41.0
7	39.8340410567039	41.0	41.0	41.0	37.0	41.0
8	39.901032537480894	41.0	41.0	41.0	37.0	41.0
9	39.890060935466515	41.0	41.0	41.0	37.0	41.0
10-14	39.85697690890186	41.0	41.0	41.0	37.0	41.0
15-19	39.829302804338354	41.0	41.0	41.0	37.0	41.0
20-24	39.79916111797432	41.0	41.0	41.0	37.0	41.0
25-29	39.670838065621915	41.0	41.0	41.0	37.0	41.0
30-34	39.560243028270385	41.0	41.0	41.0	37.0	41.0
35-39	39.45671721268343	41.0	41.0	41.0	37.0	41.0
40-44	39.46026431606424	41.0	41.0	41.0	37.0	41.0
45-49	39.39600728814469	41.0	41.0	41.0	37.0	41.0
50-54	39.270205666619745	41.0	41.0	41.0	37.0	41.0
55-59	39.1658493080129	41.0	41.0	41.0	37.0	41.0
60-64	39.07364394208681	41.0	41.0	41.0	37.0	41.0
65-69	39.0178581021189	41.0	41.0	41.0	37.0	41.0
70-74	38.942262052753776	41.0	41.0	41.0	33.0	41.0
75-79	38.526549822008775	41.0	39.4	41.0	32.0	41.0
80-84	38.95371810617611	41.0	41.0	41.0	34.0	41.0
85-89	38.927164996366784	41.0	41.0	41.0	33.0	41.0
90-94	38.823814839672494	41.0	41.0	41.0	32.0	41.0
95-99	38.74429940269412	41.0	41.0	41.0	32.0	41.0
100-104	38.657051740386066	41.0	41.0	41.0	32.0	41.0
105-109	38.54972768606071	41.0	41.0	41.0	32.0	41.0
110-114	38.48702604053541	41.0	41.0	41.0	32.0	41.0
115-119	38.332351540052095	41.0	41.0	41.0	32.0	41.0
120-124	38.17802491745705	41.0	38.6	41.0	32.0	41.0
125-129	37.99602088076987	41.0	37.0	41.0	32.0	41.0
130-134	37.83924771829786	41.0	37.0	41.0	30.0	41.0
135-139	37.66926768399564	41.0	37.0	41.0	27.0	41.0
140-144	37.4618693619724	41.0	37.0	41.0	27.0	41.0
145-149	37.177012272598986	41.0	37.0	41.0	27.0	41.0
150	37.045616442991594	41.0	37.0	41.0	27.0	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.00184998820883564
1101	2	-0.508581431476081
1101	3	-0.5696063721781002
1101	4	-0.3148554146280915
1101	5	-0.2075771140500322
1101	6	-0.053868624050124936
1101	7	-0.0879307052074978
1101	8	-0.8713612371447823
1101	9	-0.7300502255695562
1101	10-14	-0.8053551374221541
1101	15-19	-0.7017896051953514
1101	20-24	-1.0573452038647488
1101	25-29	-0.911844080723867
1101	30-34	-0.7050109448697199
1101	35-39	-1.291928900138899
1101	40-44	-0.831629196255264
1101	45-49	-0.7456731709328608
1101	50-54	-1.2204592725349173
1101	55-59	-0.9782740065923079
1101	60-64	-1.0991493250078577
1101	65-69	-0.9546157190005005
1101	70-74	-0.8899786904200582
1101	75-79	-1.8084330228007701
1101	80-84	-1.3556949039577333
1101	85-89	-1.6185191707904494
1101	90-94	-1.2875675252750582
1101	95-99	-1.4955896642379258
1101	100-104	-2.019668255561214
1101	105-109	-2.3632741067451377
1101	110-114	-2.3199503193102586
1101	115-119	-1.7320476542187038
1101	120-124	-2.2074617990160377
1101	125-129	-2.3025448254666046
1101	130-134	-2.9226074782910985
1101	135-139	-3.0546812682680766
1101	140-144	-2.7056074633800833
1101	145-149	-2.5561105001317657
1101	150	-3.225731880363689
1102	1	0.41784114641580317
1102	2	-0.234694090458742
1102	3	-0.08704495101343923
1102	4	0.1616171948256948
1102	5	0.07134778780463336
1102	6	0.008482613697388786
1102	7	0.03257482981768334
1102	8	-0.18195114790098899
1102	9	-0.38955544062086034
1102	10-14	-0.09742116753307073
1102	15-19	-0.209237826657656
1102	20-24	-0.08057331043297467
1102	25-29	-0.18874798883409483
1102	30-34	-0.16524004327127528
1102	35-39	-0.27694625723343336
1102	40-44	-0.1918552466739598
1102	45-49	-0.25225407864234484
1102	50-54	-0.48310331067305157
1102	55-59	-0.41299450875331445
1102	60-64	-0.3529731488846721
1102	65-69	-0.12968966158022965
1102	70-74	-0.5238141365898557
1102	75-79	-0.9124319300614019
1102	80-84	-0.7465851649150537
1102	85-89	-0.7640939400741971
1102	90-94	-0.28881663080542097
1102	95-99	-0.5672608211314838
1102	100-104	-1.0423981811608272
1102	105-109	-1.2580492173160849
1102	110-114	-1.226965418905607
1102	115-119	-1.2236814725767147
1102	120-124	-0.5255375020358031
1102	125-129	-0.43404908158285593
1102	130-134	-1.1032745417967362
1102	135-139	-0.7636607198035108
1102	140-144	-0.7353091161920702
1102	145-149	-0.44249177681868446
1102	150	-0.21126851216001796
1103	1	0.2159050663732529
1103	2	0.009953159119767463
1103	3	0.11933890441330419
1103	4	0.23693860953227386
1103	5	0.08917116189356733
1103	6	0.177002991981702
1103	7	0.1211481078174046
1103	8	0.07054322414285963
1103	9	0.12376316906475182
1103	10-14	0.03410619428699846
1103	15-19	-0.0028632429178117036
1103	20-24	0.06304143899841108
1103	25-29	0.06965662241942283
1103	30-34	0.08289717683541653
1103	35-39	0.14089700653425297
1103	40-44	0.0040527215151371365
1103	45-49	-0.04508013799541999
1103	50-54	0.050095338782263354
1103	55-59	0.0037266971294229734
1103	60-64	-0.06715445881710025
1103	65-69	0.019133585529203856
1103	70-74	-0.029936205419943462
1103	75-79	-0.1265483670807015
1103	80-84	0.03578542194834711
1103	85-89	0.09924712617178244
1103	90-94	-0.16980125565799398
1103	95-99	0.04775670954771982
1103	100-104	0.050768479056877425
1103	105-109	-0.012242756713980896
1103	110-114	0.02221698389255522
1103	115-119	0.14771376796421976
1103	120-124	-0.15442803718413245
1103	125-129	3.934203358895161E-4
1103	130-134	-0.07131703309405424
1103	135-139	-0.2664463449297756
1103	140-144	0.09969009003678053
1103	145-149	0.05475969363428135
1103	150	-0.22415770236305121
1104	1	0.28892243077980595
1104	2	0.07128225317294934
1104	3	0.05097286377688448
1104	4	0.27805243108646494
1104	5	0.11295491682870562
1104	6	0.1397635731021225
1104	7	0.15569883471009405
1104	8	0.008783321856476789
1104	9	0.1212493624525024
1104	10-14	-0.01039707130303924
1104	15-19	-9.203445593399806E-4
1104	20-24	0.05034537053698074
1104	25-29	0.10411069029553488
1104	30-34	0.059029427701609904
1104	35-39	0.113271363155512
1104	40-44	0.054770999248539454
1104	45-49	0.08164001577900848
1104	50-54	0.16279871945773294
1104	55-59	0.0563379011749916
1104	60-64	0.12824485908012662
1104	65-69	0.09697599288218584
1104	70-74	0.1146616089160375
1104	75-79	0.07813244454443691
1104	80-84	-0.13075387289431717
1104	85-89	-0.06438981712247482
1104	90-94	0.1057727399955013
1104	95-99	0.09323523936239297
1104	100-104	0.08734181213225156
1104	105-109	0.03548520857896875
1104	110-114	0.013672465437608139
1104	115-119	-0.09696463555607693
1104	120-124	-0.011087656428408366
1104	125-129	-0.03781228468205455
1104	130-134	-0.07306222305286525
1104	135-139	-0.16968233395149923
1104	140-144	-0.019443427156375037
1104	145-149	1.7727281647950122E-4
1104	150	0.12281060675844913
1105	1	0.4018094743458498
1105	2	0.07071495987770504
1105	3	0.08733266928749117
1105	4	0.09730629784052525
1105	5	-0.013400933416285454
1105	6	-0.005316718531325648
1105	7	0.0062450574599708375
1105	8	-0.12468496684284958
1105	9	0.06810632319373155
1105	10-14	0.049083085759136225
1105	15-19	0.04706829758872999
1105	20-24	0.03430564686656368
1105	25-29	0.04229270384948336
1105	30-34	0.061909562327912226
1105	35-39	0.13032447374762768
1105	40-44	0.12020226548895607
1105	45-49	0.08545078400983641
1105	50-54	0.1424934948222898
1105	55-59	0.03877944302507785
1105	60-64	0.03806160144822002
1105	65-69	0.08431063971355002
1105	70-74	0.14076318073318106
1105	75-79	0.04250200521423153
1105	80-84	0.13335623628353943
1105	85-89	0.05536125649918944
1105	90-94	0.06812377742054565
1105	95-99	0.03412021173195967
1105	100-104	0.1811013627015683
1105	105-109	0.23371733956338403
1105	110-114	0.19358560506599787
1105	115-119	0.2532548634772951
1105	120-124	0.2666070120180848
1105	125-129	0.2358217706659005
1105	130-134	0.17214639210332905
1105	135-139	-0.004971889764540549
1105	140-144	0.19515034880534188
1105	145-149	0.17276565215550477
1105	150	0.23696661135483055
1106	1	-0.1845094006953687
1106	2	-0.1399410559902705
1106	3	-0.04401405977549899
1106	4	0.14182727476856627
1106	5	0.06665618881663704
1106	6	-0.03482056186693683
1106	7	-0.05410999562027996
1106	8	0.09708232308138065
1106	9	0.08581058730496238
1106	10-14	0.05216793873852765
1106	15-19	-0.0012373417282915966
1106	20-24	-0.035529091598895945
1106	25-29	0.06494917471223971
1106	30-34	0.06730150506697896
1106	35-39	0.12170659708996112
1106	40-44	0.009563808312321953
1106	45-49	0.06129875554017872
1106	50-54	-0.10022479350237035
1106	55-59	-0.3914957120290552
1106	60-64	-0.14344830087109983
1106	65-69	-0.0998673983273548
1106	70-74	0.08095196402786797
1106	75-79	-0.25169294287621113
1106	80-84	-0.2510707137929131
1106	85-89	-0.11216951835442046
1106	90-94	-0.1315433481759669
1106	95-99	-0.17303291113904606
1106	100-104	-0.38668025325677746
1106	105-109	-0.6211921947337444
1106	110-114	-0.6492587891567609
1106	115-119	-0.547303312248701
1106	120-124	-0.2601956445215592
1106	125-129	-0.4018025959776921
1106	130-134	-0.6207198341872839
1106	135-139	-0.4996509033888472
1106	140-144	-0.5131565974787549
1106	145-149	-0.22210462107971551
1106	150	-0.13672280393448943
1107	1	0.3416791016514118
1107	2	0.005030557516302991
1107	3	0.1605009771551309
1107	4	0.20237602671779342
1107	5	0.08461252213171377
1107	6	0.17366601873776233
1107	7	0.11403802060709012
1107	8	0.10610666138300928
1107	9	0.06332999800828532
1107	10-14	0.09209002354096896
1107	15-19	0.07394996524693909
1107	20-24	0.07363152159091868
1107	25-29	0.06454159363638468
1107	30-34	0.14341401220345773
1107	35-39	0.17650403878845822
1107	40-44	0.10159881903408063
1107	45-49	0.17427110778739774
1107	50-54	0.19223122653543356
1107	55-59	0.18409272820336042
1107	60-64	0.15309775572581685
1107	65-69	0.1960435288912592
1107	70-74	0.1836608608512904
1107	75-79	0.18774780999871155
1107	80-84	0.15532674328811424
1107	85-89	0.2233514407448851
1107	90-94	0.2234288589741098
1107	95-99	0.23429357518519112
1107	100-104	0.25471091030480153
1107	105-109	0.18337160244636408
1107	110-114	0.18074728881062185
1107	115-119	0.215685727725635
1107	120-124	0.11971926789599507
1107	125-129	0.14172618526779956
1107	130-134	0.0666800704124455
1107	135-139	0.03904797348474176
1107	140-144	0.060061351163291476
1107	145-149	0.12292505717010016
1107	150	-0.04044805663738771
1108	1	0.28867731360139715
1108	2	-0.021186981869309562
1108	3	0.06564028689773949
1108	4	0.12470504878256605
1108	5	-0.019189754944576976
1108	6	0.11599588021739038
1108	7	0.03574712786337386
1108	8	0.1364351288543304
1108	9	0.004292671086794542
1108	10-14	0.06869512295180158
1108	15-19	0.02672019197652986
1108	20-24	-0.06261932302060558
1108	25-29	-0.023453641791803648
1108	30-34	-0.06678477478914147
