##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	Smelt-Joslin_R2_001.fastq.gz
File type	Conventional base calls
1103	35-39	0.8256111528543144
1103	40-44	0.912201358767966
1103	45-49	1.0408499915488036
1103	50-54	0.9784891931251707
1103	55-59	1.1047007674553342
1103	60-64	1.0104138110522243
1103	65-69	1.198264887190767
1103	70-74	1.185668724738612
1103	75-79	1.1598545100900566
1103	80-84	1.0592465933672983
1103	85-89	0.9519968937178831
1103	90-94	1.0315643485059454
1103	95-99	1.0241242576033542
1103	100-104	0.9566515445466024
1103	105-109	1.0251812711659767
1103	110-114	1.0773570466942175
1103	115-119	1.0721129668472358
1103	120-124	0.7238392429185581
1103	125-129	0.972216724433487
1103	130-134	1.1133854599100204
1103	135-139	1.3685852833576746
1103	140-144	1.5567949567949029
1103	145-149	1.8412071794070286
1103	150	1.7617131491934188
1104	1	0.5746128918754358
1104	2	0.5209269172183433
1104	3	0.8926379930576829
1104	4	0.9247272072850592
1104	5	0.7608008878773802
1104	6	1.0255125974197625
1104	7	0.9299582759050438
1104	8	0.9028058959021692
1104	9	0.9217495263849642
1104	10-14	0.7132640307443054
1104	15-19	0.7947051086440453
1104	20-24	0.7537580272065654
1104	25-29	0.6117577939222016
1104	30-34	0.6817220425832318
1104	35-39	0.7178637485815997
1104	40-44	0.7199409448620102
1104	45-49	0.8165547107726709
1104	50-54	0.8075349847555557
1104	55-59	0.8664073694376668
1104	60-64	0.9647528951465247
1104	65-69	1.068678897732653
1104	70-74	0.8285638377330073
1104	75-79	0.7435493660833927
1104	80-84	0.8206322331543845
1104	85-89	1.0263845640211287
1104	90-94	1.0331256924618444
1104	95-99	0.7237446724177019
1104	100-104	0.9113194223521148
1104	105-109	0.6708037227884276
1104	110-114	0.4730953074637938
1104	115-119	0.7194535304582956
1104	120-124	0.19839611511984145
1104	125-129	0.16342748758712133
1104	130-134	0.07043901109826578
1104	135-139	0.645692462552951
1104	140-144	1.4510386598898464
1104	145-149	1.8154887617476234
1104	150	1.447346766368291
1105	1	0.65909615390051
1105	2	0.5400028190940667
1105	3	0.49567325994473777
1105	4	0.8349055513793076
1105	5	0.3229557660607867
1105	6	0.6541569721505169
1105	7	0.6601726332906779
1105	8	0.6432048418707268
1105	9	0.7511281303919901
1105	10-14	0.6631802566638498
1105	15-19	0.6467872534986085
1105	20-24	0.7099650836114577
1105	25-29	0.816569905194946
1105	30-34	0.825300572618886
1105	35-39	0.81371675894286
1105	40-44	0.8036380555936162
1105	45-49	1.015691863762406
1105	50-54	0.9265996549911435
1105	55-59	0.9557954924055707
1105	60-64	0.9942292113395936
1105	65-69	1.0287183255039167
1105	70-74	1.0927112893482942
1105	75-79	1.182582320141215
1105	80-84	1.0425277907798716
1105	85-89	0.9969541331728564
1105	90-94	1.0930277055290318
1105	95-99	1.050776728367758
1105	100-104	1.1689098552305524
1105	105-109	1.1092320476017434
1105	110-114	0.9965353318575225
1105	115-119	1.1821151788628583
1105	120-124	1.2898025929330075
1105	125-129	1.175955154670966
1105	130-134	1.337748068282849
1105	135-139	1.4797599366373788
1105	140-144	1.5586605651034091
1105	145-149	1.8666511798395007
1105	150	1.8722059445628005
1106	1	0.3609619586091668
1106	2	0.4164810252887783
1106	3	-0.05600659403897623
1106	4	0.3404267408303312
1106	5	0.15130597032856485
1106	6	0.557494376527373
1106	7	0.7746238251518847
1106	8	0.5812517232750167
1106	9	-0.8693573278129776
1106	10-14	0.37369998898849843
1106	15-19	0.3633700673798188
1106	20-24	0.6055158952811226
1106	25-29	0.7190264772491659
1106	30-34	0.40068415198376073
1106	35-39	0.5841355103165284
1106	40-44	0.3143239095574586
1106	45-49	0.35512674868076033
1106	50-54	0.34366634641873617
1106	55-59	0.5664457755051728
1106	60-64	0.39351622236119255
1106	65-69	0.6038720395443207
