##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	fHypTra1_Delta_Smelt_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	514752066
Sequences flagged as poor quality	0
Sequence length	150
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.58958180655461	37.0	37.0	37.0	37.0	37.0
2	35.71371377846981	37.0	37.0	37.0	37.0	37.0
3	35.862030323546094	37.0	37.0	37.0	37.0	37.0
4	35.905898176618486	37.0	37.0	37.0	37.0	37.0
5	35.97699394177857	37.0	37.0	37.0	37.0	37.0
6	36.009571541962494	37.0	37.0	37.0	37.0	37.0
7	36.04212629231099	37.0	37.0	37.0	37.0	37.0
8	36.04052901848868	37.0	37.0	37.0	37.0	37.0
9	36.03202268448982	37.0	37.0	37.0	37.0	37.0
10-14	36.02070476779787	37.0	37.0	37.0	37.0	37.0
15-19	35.96635667315612	37.0	37.0	37.0	37.0	37.0
20-24	35.885849135766264	37.0	37.0	37.0	37.0	37.0
25-29	35.70971870562634	37.0	37.0	37.0	37.0	37.0
30-34	35.5963735003251	37.0	37.0	37.0	37.0	37.0
35-39	35.5036353944425	37.0	37.0	37.0	37.0	37.0
40-44	35.41908470824865	37.0	37.0	37.0	37.0	37.0
45-49	35.32101734391096	37.0	37.0	37.0	37.0	37.0
50-54	35.23936482228709	37.0	37.0	37.0	37.0	37.0
55-59	35.149580015090216	37.0	37.0	37.0	29.8	37.0
60-64	35.049484501146225	37.0	37.0	37.0	25.0	37.0
65-69	34.962069002749764	37.0	37.0	37.0	25.0	37.0
70-74	34.8843616775304	37.0	37.0	37.0	25.0	37.0
75-79	34.78309277422113	37.0	37.0	37.0	25.0	37.0
80-84	34.68866253603342	37.0	37.0	37.0	25.0	37.0
85-89	34.60821680276656	37.0	37.0	37.0	25.0	37.0
90-94	34.507882538930886	37.0	37.0	37.0	25.0	37.0
95-99	34.41222525370107	37.0	37.0	37.0	25.0	37.0
100-104	34.310041339008436	37.0	37.0	37.0	25.0	37.0
105-109	34.2177352764622	37.0	37.0	37.0	25.0	37.0
110-114	34.13790408371086	37.0	37.0	37.0	25.0	37.0
115-119	34.04237244032742	37.0	37.0	37.0	25.0	37.0
120-124	33.90305063836305	37.0	37.0	37.0	25.0	37.0
125-129	33.839312506227024	37.0	37.0	37.0	25.0	37.0
130-134	33.710020105096575	37.0	37.0	37.0	25.0	37.0
135-139	33.63774094692026	37.0	37.0	37.0	25.0	37.0
140-144	33.53044686487961	37.0	37.0	37.0	25.0	37.0
145-149	33.43082156721252	37.0	37.0	37.0	22.2	37.0
150	33.41564457946245	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.08657658264377943
1101	2	-0.005744992107111102
1101	3	0.04556523075532937
1101	4	0.0470647819800476
1101	5	0.013974898727852292
1101	6	0.03827270664103821
1101	7	0.03464050585346712
1101	8	-0.012037306072073761
1101	9	-0.016262167985551912
1101	10-14	-9.989400564194284E-4
1101	15-19	0.0019912306852560846
1101	20-24	0.0017179229085968473
1101	25-29	-0.007536854451281272
1101	30-34	-0.01889408388139202
1101	35-39	-0.020405500337574267
1101	40-44	-0.02636770242892794
1101	45-49	-0.025137899988415313
1101	50-54	-0.035574839960972326
1101	55-59	-0.04491217941939141
1101	60-64	-0.09711911511372051
1101	65-69	-0.08946832055672616
1101	70-74	-0.07219132714649845
1101	75-79	-0.08051632768638228
1101	80-84	-0.0794200963209235
1101	85-89	-0.10003717318502936
1101	90-94	-0.1386752665382005
1101	95-99	-0.1404209935910572
1101	100-104	-0.11232250760748741
1101	105-109	-0.11705761346593846
1101	110-114	-0.1542201314165581
1101	115-119	-0.11767029842907561
1101	120-124	-0.15077687206063928
1101	125-129	-0.19640590630571353
1101	130-134	-0.15384208173787073
1101	135-139	-0.12182644752517291
1101	140-144	-0.1043991167960101
1101	145-149	-0.11807520315434061
1101	150	-0.033481721120857344
1102	1	0.01221607441287631
1102	2	0.0031690913059208015
1102	3	0.06031993141345282
1102	4	0.02553137067096145
1102	5	0.05416295987198083
1102	6	0.04692459196591159
1102	7	0.034631573130127435
1102	8	0.023925249221591116
1102	9	0.007380734486218898
1102	10-14	0.014173347367879785
1102	15-19	0.022772046099888144
1102	20-24	0.019843930643446583
1102	25-29	0.02342716290056046
1102	30-34	-0.004928015961340293
1102	35-39	-0.011194530094101651
1102	40-44	-0.018720599472651145
1102	45-49	-0.020999675216970104
1102	50-54	-0.04785761694428459
1102	55-59	-0.04111018680917056
1102	60-64	-0.1056076861128119
1102	65-69	-0.0714522331956502
1102	70-74	-0.09367211398767239
1102	75-79	-0.0676021154619022
1102	80-84	-0.07356368128962743
1102	85-89	-0.10464343182326985
1102	90-94	-0.11405511619665276
1102	95-99	-0.1274744036368105
1102	100-104	-0.08469046365076593
1102	105-109	-0.11689795863804164
1102	110-114	-0.16846528242248127
1102	115-119	-0.09432355810808701
1102	120-124	-0.16711423674473735
1102	125-129	-0.16046112377756572
1102	130-134	-0.16754192390747846
1102	135-139	-0.14032530160193346
1102	140-144	-0.14513566737898742
1102	145-149	-0.0996374917638363
1102	150	-0.09229992151623634
1103	1	7.063101890949497E-4
1103	2	-0.03832520564496633
1103	3	0.03157876454114472
1103	4	0.022764115090097903
1103	5	0.05582966724472982
1103	6	0.048424524052464335
1103	7	0.052207838671449736
1103	8	0.053288914375357876
1103	9	-0.01936972472960008
1103	10-14	0.012867054666948263
1103	15-19	0.020747229741459705
1103	20-24	0.019757087212376234
